filepath,xmin,xmax,ymin,ymax
../Automatic_Number_Plate_Recognition/images\N1.xml,1093,1396,645,727
../Automatic_Number_Plate_Recognition/images\N100.xml,134,301,312,350
../Automatic_Number_Plate_Recognition/images\N101.xml,31,139,128,161
../Automatic_Number_Plate_Recognition/images\N102.xml,164,316,216,243
../Automatic_Number_Plate_Recognition/images\N103.xml,813,1067,665,724
../Automatic_Number_Plate_Recognition/images\N104.xml,66,154,166,197
../Automatic_Number_Plate_Recognition/images\N105.xml,360,434,174,195
../Automatic_Number_Plate_Recognition/images\N106.xml,137,262,249,290
../Automatic_Number_Plate_Recognition/images\N107.xml,207,356,174,287
../Automatic_Number_Plate_Recognition/images\N108.xml,184,342,220,257
../Automatic_Number_Plate_Recognition/images\N109.xml,148,239,250,320
../Automatic_Number_Plate_Recognition/images\N11.xml,131,187,130,144
../Automatic_Number_Plate_Recognition/images\N110.xml,183,249,211,227
../Automatic_Number_Plate_Recognition/images\N111.xml,80,239,364,402
../Automatic_Number_Plate_Recognition/images\N112.xml,179,347,256,290
../Automatic_Number_Plate_Recognition/images\N113.xml,39,108,129,157
../Automatic_Number_Plate_Recognition/images\N114.xml,15,200,33,126
../Automatic_Number_Plate_Recognition/images\N116.xml,157,316,226,278
../Automatic_Number_Plate_Recognition/images\N117.xml,120,249,161,202
../Automatic_Number_Plate_Recognition/images\N118.xml,532,852,636,706
../Automatic_Number_Plate_Recognition/images\N119.xml,180,559,216,314
../Automatic_Number_Plate_Recognition/images\N12.xml,976,1284,669,754
../Automatic_Number_Plate_Recognition/images\N120.xml,647,736,332,387
../Automatic_Number_Plate_Recognition/images\N121.xml,311,506,324,370
../Automatic_Number_Plate_Recognition/images\N122.xml,342,494,243,288
../Automatic_Number_Plate_Recognition/images\N123.xml,11,246,78,165
../Automatic_Number_Plate_Recognition/images\N124.xml,165,328,276,324
../Automatic_Number_Plate_Recognition/images\N126.xml,149,399,269,327
../Automatic_Number_Plate_Recognition/images\N127.xml,24,142,209,245
../Automatic_Number_Plate_Recognition/images\N128.xml,58,221,198,271
../Automatic_Number_Plate_Recognition/images\N129.xml,301,504,351,402
../Automatic_Number_Plate_Recognition/images\N130.xml,419,513,173,213
../Automatic_Number_Plate_Recognition/images\N131.xml,198,349,107,143
../Automatic_Number_Plate_Recognition/images\N132.xml,111,320,133,286
../Automatic_Number_Plate_Recognition/images\N133.xml,795,1095,751,840
../Automatic_Number_Plate_Recognition/images\N134.xml,230,365,188,219
../Automatic_Number_Plate_Recognition/images\N135.xml,157,341,197,247
../Automatic_Number_Plate_Recognition/images\N136.xml,787,910,473,513
../Automatic_Number_Plate_Recognition/images\N137.xml,401,593,456,493
../Automatic_Number_Plate_Recognition/images\N138.xml,36,465,64,168
../Automatic_Number_Plate_Recognition/images\N139.xml,341,607,954,1011
../Automatic_Number_Plate_Recognition/images\N14.xml,1058,1351,660,756
../Automatic_Number_Plate_Recognition/images\N140.xml,346,423,197,221
../Automatic_Number_Plate_Recognition/images\N141.xml,150,348,255,296
../Automatic_Number_Plate_Recognition/images\N142.xml,66,174,234,259
../Automatic_Number_Plate_Recognition/images\N143.xml,115,524,144,296
../Automatic_Number_Plate_Recognition/images\N144.xml,39,177,201,275
../Automatic_Number_Plate_Recognition/images\N145.xml,233,432,88,151
../Automatic_Number_Plate_Recognition/images\N147.xml,424,613,548,591
../Automatic_Number_Plate_Recognition/images\N148.xml,244,369,240,293
../Automatic_Number_Plate_Recognition/images\N149.xml,186,324,116,148
../Automatic_Number_Plate_Recognition/images\N15.xml,582,853,622,691
../Automatic_Number_Plate_Recognition/images\N150.xml,172,372,97,143
../Automatic_Number_Plate_Recognition/images\N151.xml,144,277,216,252
../Automatic_Number_Plate_Recognition/images\N152.xml,265,725,247,347
../Automatic_Number_Plate_Recognition/images\N153.xml,133,279,352,385
../Automatic_Number_Plate_Recognition/images\N154.xml,106,245,157,196
../Automatic_Number_Plate_Recognition/images\N155.xml,145,313,167,201
../Automatic_Number_Plate_Recognition/images\N156.xml,49,106,230,249
../Automatic_Number_Plate_Recognition/images\N158.xml,122,224,268,292
../Automatic_Number_Plate_Recognition/images\N16.xml,887,1173,625,696
../Automatic_Number_Plate_Recognition/images\N160.xml,153,251,196,217
../Automatic_Number_Plate_Recognition/images\N162.xml,147,336,169,209
../Automatic_Number_Plate_Recognition/images\N163.xml,230,316,203,231
../Automatic_Number_Plate_Recognition/images\N164.xml,248,421,121,174
../Automatic_Number_Plate_Recognition/images\N165.xml,186,374,290,335
../Automatic_Number_Plate_Recognition/images\N166.xml,809,1034,246,295
../Automatic_Number_Plate_Recognition/images\N167.xml,345,848,242,416
../Automatic_Number_Plate_Recognition/images\N168.xml,271,474,514,561
../Automatic_Number_Plate_Recognition/images\N169.xml,167,413,208,263
../Automatic_Number_Plate_Recognition/images\N17.xml,88,216,507,556
../Automatic_Number_Plate_Recognition/images\N170.xml,299,442,337,386
../Automatic_Number_Plate_Recognition/images\N171.xml,13,444,137,270
../Automatic_Number_Plate_Recognition/images\N172.xml,147,370,133,184
../Automatic_Number_Plate_Recognition/images\N173.xml,80,335,150,243
../Automatic_Number_Plate_Recognition/images\N174.xml,315,665,442,531
../Automatic_Number_Plate_Recognition/images\N175.xml,183,250,205,229
../Automatic_Number_Plate_Recognition/images\N176.xml,195,383,320,358
../Automatic_Number_Plate_Recognition/images\N177.xml,331,538,263,317
../Automatic_Number_Plate_Recognition/images\N178.xml,210,335,289,351
../Automatic_Number_Plate_Recognition/images\N179.xml,203,297,217,240
../Automatic_Number_Plate_Recognition/images\N18.xml,373,528,366,408
../Automatic_Number_Plate_Recognition/images\N181.xml,361,499,381,432
../Automatic_Number_Plate_Recognition/images\N183.xml,216,343,155,190
../Automatic_Number_Plate_Recognition/images\N184.xml,229,1391,204,660
../Automatic_Number_Plate_Recognition/images\N185.xml,321,559,420,484
../Automatic_Number_Plate_Recognition/images\N186.xml,464,561,286,344
../Automatic_Number_Plate_Recognition/images\N187.xml,572,839,461,535
../Automatic_Number_Plate_Recognition/images\N188.xml,587,711,760,832
../Automatic_Number_Plate_Recognition/images\N189.xml,178,381,121,181
../Automatic_Number_Plate_Recognition/images\N19.xml,99,216,367,423
../Automatic_Number_Plate_Recognition/images\N190.xml,896,1558,814,969
../Automatic_Number_Plate_Recognition/images\N191.xml,317,568,319,397
../Automatic_Number_Plate_Recognition/images\N192.xml,543,769,390,461
../Automatic_Number_Plate_Recognition/images\N193.xml,274,502,2,59
../Automatic_Number_Plate_Recognition/images\N195.xml,186,367,137,232
../Automatic_Number_Plate_Recognition/images\N196.xml,119,220,84,111
../Automatic_Number_Plate_Recognition/images\N197.xml,120,184,103,130
../Automatic_Number_Plate_Recognition/images\N198.xml,214,335,138,169
../Automatic_Number_Plate_Recognition/images\N199.xml,45,112,206,255
../Automatic_Number_Plate_Recognition/images\N2.xml,1804,2493,1734,1882
../Automatic_Number_Plate_Recognition/images\N20.xml,498,796,729,814
../Automatic_Number_Plate_Recognition/images\N200.xml,196,442,227,293
../Automatic_Number_Plate_Recognition/images\N201.xml,157,290,193,229
../Automatic_Number_Plate_Recognition/images\N202.xml,157,329,260,296
../Automatic_Number_Plate_Recognition/images\N203.xml,765,1258,821,905
../Automatic_Number_Plate_Recognition/images\N204.xml,94,206,307,334
../Automatic_Number_Plate_Recognition/images\N205.xml,322,479,169,203
../Automatic_Number_Plate_Recognition/images\N206.xml,121,215,120,147
../Automatic_Number_Plate_Recognition/images\N207.xml,213,339,280,307
../Automatic_Number_Plate_Recognition/images\N208.xml,199,274,203,221
../Automatic_Number_Plate_Recognition/images\N209.xml,145,319,200,244
../Automatic_Number_Plate_Recognition/images\N21.xml,244,403,221,258
../Automatic_Number_Plate_Recognition/images\N210.xml,143,337,210,254
../Automatic_Number_Plate_Recognition/images\N211.xml,74,160,149,175
../Automatic_Number_Plate_Recognition/images\N212.xml,159,353,115,173
../Automatic_Number_Plate_Recognition/images\N213.xml,131,209,129,153
../Automatic_Number_Plate_Recognition/images\N214.xml,167,277,189,226
../Automatic_Number_Plate_Recognition/images\N215.xml,85,258,390,446
../Automatic_Number_Plate_Recognition/images\N216.xml,322,682,300,371
../Automatic_Number_Plate_Recognition/images\N217.xml,404,585,429,468
../Automatic_Number_Plate_Recognition/images\N218.xml,176,301,212,238
../Automatic_Number_Plate_Recognition/images\N219.xml,1,300,92,154
../Automatic_Number_Plate_Recognition/images\N22.xml,493,858,885,967
../Automatic_Number_Plate_Recognition/images\N220.xml,182,349,238,273
../Automatic_Number_Plate_Recognition/images\N221.xml,104,209,153,182
../Automatic_Number_Plate_Recognition/images\N222.xml,127,183,122,156
../Automatic_Number_Plate_Recognition/images\N223.xml,69,585,79,183
../Automatic_Number_Plate_Recognition/images\N224.xml,164,272,223,247
../Automatic_Number_Plate_Recognition/images\N225.xml,775,1142,965,1101
../Automatic_Number_Plate_Recognition/images\N226.xml,142,343,253,304
../Automatic_Number_Plate_Recognition/images\N227.xml,626,768,280,359
../Automatic_Number_Plate_Recognition/images\N229.xml,358,1031,294,540
../Automatic_Number_Plate_Recognition/images\N23.xml,107,201,264,288
../Automatic_Number_Plate_Recognition/images\N230.xml,271,484,332,384
../Automatic_Number_Plate_Recognition/images\N231.xml,581,700,273,319
../Automatic_Number_Plate_Recognition/images\N232.xml,286,451,216,258
../Automatic_Number_Plate_Recognition/images\N233.xml,99,223,20,50
../Automatic_Number_Plate_Recognition/images\N234.xml,224,307,158,183
../Automatic_Number_Plate_Recognition/images\N235.xml,44,656,128,391
../Automatic_Number_Plate_Recognition/images\N236.xml,313,380,111,141
../Automatic_Number_Plate_Recognition/images\N237.xml,121,243,163,198
../Automatic_Number_Plate_Recognition/images\N238.xml,165,341,129,170
../Automatic_Number_Plate_Recognition/images\N239.xml,106,263,238,276
../Automatic_Number_Plate_Recognition/images\N24.xml,151,280,193,224
../Automatic_Number_Plate_Recognition/images\N240.xml,164,285,99,137
../Automatic_Number_Plate_Recognition/images\N241.xml,251,542,308,385
../Automatic_Number_Plate_Recognition/images\N242.xml,202,386,190,227
../Automatic_Number_Plate_Recognition/images\N244.xml,335,452,313,343
../Automatic_Number_Plate_Recognition/images\N245.xml,192,364,279,319
../Automatic_Number_Plate_Recognition/images\N246.xml,23,160,261,321
../Automatic_Number_Plate_Recognition/images\N247.xml,641,886,518,578
../Automatic_Number_Plate_Recognition/images\N248.xml,288,429,248,281
../Automatic_Number_Plate_Recognition/images\N25.xml,132,235,169,193
../Automatic_Number_Plate_Recognition/images\N27.xml,696,1061,546,677
../Automatic_Number_Plate_Recognition/images\N28.xml,738,1009,654,722
../Automatic_Number_Plate_Recognition/images\N3.xml,73,260,381,462
../Automatic_Number_Plate_Recognition/images\N30.xml,928,1219,543,606
../Automatic_Number_Plate_Recognition/images\N31.xml,256,381,233,261
../Automatic_Number_Plate_Recognition/images\N32.xml,360,500,171,206
../Automatic_Number_Plate_Recognition/images\N33.xml,856,1218,665,751
../Automatic_Number_Plate_Recognition/images\N34.xml,576,902,487,596
../Automatic_Number_Plate_Recognition/images\N35.xml,97,229,338,378
../Automatic_Number_Plate_Recognition/images\N36.xml,392,517,161,213
../Automatic_Number_Plate_Recognition/images\N37.xml,77,200,231,290
../Automatic_Number_Plate_Recognition/images\N38.xml,397,645,590,641
../Automatic_Number_Plate_Recognition/images\N4.xml,1326,1830,1464,1607
../Automatic_Number_Plate_Recognition/images\N40.xml,328,580,208,254
../Automatic_Number_Plate_Recognition/images\N42.xml,163,373,253,327
../Automatic_Number_Plate_Recognition/images\N43.xml,142,298,281,327
../Automatic_Number_Plate_Recognition/images\N44.xml,113,257,282,322
../Automatic_Number_Plate_Recognition/images\N45.xml,107,256,147,180
../Automatic_Number_Plate_Recognition/images\N46.xml,454,797,109,234
../Automatic_Number_Plate_Recognition/images\N47.xml,161,313,212,259
../Automatic_Number_Plate_Recognition/images\N48.xml,156,335,259,303
../Automatic_Number_Plate_Recognition/images\N49.xml,196,352,135,173
../Automatic_Number_Plate_Recognition/images\N5.xml,938,1173,709,762
../Automatic_Number_Plate_Recognition/images\N50.xml,101,397,223,291
../Automatic_Number_Plate_Recognition/images\N51.xml,383,491,212,248
../Automatic_Number_Plate_Recognition/images\N52.xml,234,422,254,294
../Automatic_Number_Plate_Recognition/images\N53.xml,217,428,147,188
../Automatic_Number_Plate_Recognition/images\N54.xml,189,299,162,188
../Automatic_Number_Plate_Recognition/images\N56.xml,302,486,265,303
../Automatic_Number_Plate_Recognition/images\N57.xml,211,406,161,202
../Automatic_Number_Plate_Recognition/images\N58.xml,221,430,190,231
../Automatic_Number_Plate_Recognition/images\N59.xml,1238,2468,1012,1269
../Automatic_Number_Plate_Recognition/images\N6.xml,858,1122,611,676
../Automatic_Number_Plate_Recognition/images\N61.xml,158,350,252,297
../Automatic_Number_Plate_Recognition/images\N62.xml,289,421,188,232
../Automatic_Number_Plate_Recognition/images\N63.xml,297,422,174,218
../Automatic_Number_Plate_Recognition/images\N64.xml,19,94,249,314
../Automatic_Number_Plate_Recognition/images\N65.xml,1024,1273,611,680
../Automatic_Number_Plate_Recognition/images\N66.xml,163,320,247,280
../Automatic_Number_Plate_Recognition/images\N67.xml,164,336,162,195
../Automatic_Number_Plate_Recognition/images\N68.xml,319,479,262,295
../Automatic_Number_Plate_Recognition/images\N69.xml,637,840,464,549
../Automatic_Number_Plate_Recognition/images\N7.xml,1149,1358,649,702
../Automatic_Number_Plate_Recognition/images\N70.xml,186,395,376,430
../Automatic_Number_Plate_Recognition/images\N72.xml,186,325,177,212
../Automatic_Number_Plate_Recognition/images\N73.xml,124,209,102,130
../Automatic_Number_Plate_Recognition/images\N74.xml,161,366,210,250
../Automatic_Number_Plate_Recognition/images\N75.xml,466,740,680,737
../Automatic_Number_Plate_Recognition/images\N77.xml,361,566,190,297
../Automatic_Number_Plate_Recognition/images\N78.xml,146,302,160,196
../Automatic_Number_Plate_Recognition/images\N79.xml,113,277,288,347
../Automatic_Number_Plate_Recognition/images\N8.xml,788,1525,1675,1851
../Automatic_Number_Plate_Recognition/images\N80.xml,248,372,116,144
../Automatic_Number_Plate_Recognition/images\N81.xml,66,174,302,332
../Automatic_Number_Plate_Recognition/images\N82.xml,456,651,722,778
../Automatic_Number_Plate_Recognition/images\N84.xml,235,349,319,352
../Automatic_Number_Plate_Recognition/images\N85.xml,163,302,357,427
../Automatic_Number_Plate_Recognition/images\N86.xml,448,638,273,338
../Automatic_Number_Plate_Recognition/images\N88.xml,208,370,89,173
../Automatic_Number_Plate_Recognition/images\N89.xml,150,378,217,269
../Automatic_Number_Plate_Recognition/images\N9.xml,142,441,55,167
../Automatic_Number_Plate_Recognition/images\N90.xml,53,185,206,232
../Automatic_Number_Plate_Recognition/images\N91.xml,239,347,187,211
../Automatic_Number_Plate_Recognition/images\N92.xml,113,420,209,260
../Automatic_Number_Plate_Recognition/images\N93.xml,385,746,293,434
../Automatic_Number_Plate_Recognition/images\N94.xml,63,243,234,274
../Automatic_Number_Plate_Recognition/images\N95.xml,23,408,173,391
../Automatic_Number_Plate_Recognition/images\N96.xml,137,352,141,186
../Automatic_Number_Plate_Recognition/images\N97.xml,175,290,228,255
../Automatic_Number_Plate_Recognition/images\N98.xml,563,675,207,238
../Automatic_Number_Plate_Recognition/images\N99.xml,158,389,129,193
